,country,nationality
0,Albania,2
1,Algeria,2
2,Argentina,26
3,Armenia,1
4,Australia,1
5,Austria,4
6,Belgium,17
7,Bosnia Herzegovina,3
8,Brazil,48
9,Cameroon,3
10,Central African Rep.,1
11,Chile,3
12,Colombia,6
13,Costa Rica,1
14,Croatia,10
15,Czech Republic,3
16,DR Congo,1
17,Denmark,6
18,Ecuador,1
19,Egypt,1
20,England,23
21,Finland,1
22,France,51
23,Gabon,1
24,Germany,38
25,Ghana,1
26,Greece,3
27,Guinea,1
28,Hungary,2
29,Iceland,1
30,Israel,2
31,Italy,31
32,Ivory Coast,3
33,Jamaica,1
34,Korea Republic,1
35,Mexico,5
36,Montenegro,1
37,Morocco,1
38,Netherlands,17
39,Nigeria,1
40,Norway,1
41,Paraguay,1
42,Poland,7
43,Portugal,28
44,Russia,2
45,Scotland,2
46,Senegal,4
47,Serbia,10
48,Slovakia,3
49,Slovenia,4
50,Spain,84
51,Sweden,3
52,Switzerland,6
53,Togo,1
54,Turkey,1
55,Ukraine,1
56,Uruguay,14
57,Venezuela,1
58,Wales,2
